iter	Passed	Remaining
410	4262	6108
411	4271	6095
412	4280	6083
413	4290	6073
414	4301	6063
415	4310	6051
416	4319	6039
417	4330	6029
418	4339	6016
419	4350	6008
420	4360	5997
421	4370	5986
422	4379	5973
423	4389	5962
424	4398	5950
425	4408	5939
426	4418	5929
427	4427	5916
428	4439	5908
429	4448	5897
430	4458	5886
431	4468	5875
432	4478	5865
433	4493	5860
434	4503	5848
435	4513	5838
436	4523	5828
437	4534	5817
438	4543	5805
439	4552	5793
440	4561	5782
441	4570	5769
442	4579	5757
443	4590	5748
444	4600	5737
445	4610	5727
446	4620	5715
447	4629	5703
448	4639	5692
449	4650	5684
450	4662	5675
451	4673	5666
452	4683	5655
453	4692	5642
454	4700	5630
455	4711	5620
456	4720	5609
457	4731	5599
458	4741	5588
459	4751	5577
460	4762	5568
461	4773	5559
462	4785	5550
463	4795	5539
464	4804	5527
465	4813	5516
466	4823	5505
467	4835	5497
468	4846	5486
469	4856	5475
470	4865	5464
471	4875	5453
472	4885	5443
473	4896	5433
474	4906	5422
475	4917	5413
476	4927	5403
477	4937	5391
478	4950	5384
479	4960	5374
480	4970	5362
481	4980	5352
482	4990	5341
483	5002	5332
484	5014	5324
485	5023	5313
486	5034	5303
487	5045	5293
488	5057	5284
489	5070	5277
490	5078	5265
491	5088	5254
492	5098	5243
493	5107	5231
494	5118	5222
495	5129	5212
496	5139	5201
497	5153	5194
498	5163	5183
499	5172	5172
500	5184	5163
501	5193	5151
502	5203	5141
503	5213	5131
504	5222	5119
505	5232	5108
506	5244	5099
507	5257	5092
508	5269	5082
509	5279	5072
510	5289	5061
511	5300	5052
512	5313	5043
513	5324	5034
514	5336	5025
515	5347	5015
516	5358	5006
517	5371	4997
518	5381	4987
519	5389	4975
520	5399	4964
521	5409	4953
522	5418	4942
523	5431	4933
524	5441	4922
525	5451	4912
526	5461	4901
527	5470	4890
528	5479	4879
529	5490	4869
530	5500	4858
531	5510	4847
532	5521	4837
533	5532	4828
534	5544	4818
535	5553	4807
536	5564	4797
537	5573	4786
538	5583	4775
539	5594	4766
540	5605	4755
541	5615	4745
542	5624	4733
543	5634	4722
544	5646	4713
545	5657	4703
546	5667	4693
547	5677	4682
548	5688	4673
549	5699	4663
550	5710	4653
551	5722	4644
552	5732	4633
553	5742	4623
554	5753	4613
555	5764	4602
556	5777	4595
557	5790	4586
558	5800	4576
559	5810	4565
560	5822	4556
561	5834	4546
562	5845	4536
563	5855	4526
564	5865	4515
565	5876	4505
566	5886	4495
567	5896	4484
568	5906	4473
569	5915	4462
570	5925	4452
571	5934	4440
572	5943	4428
573	5955	4419
574	5964	4408
575	5977	4399
576	5986	4388
577	5995	4377
578	6006	4367
579	6015	4356
580	6025	4345
581	6035	4334
582	6044	4323
583	6053	4312
584	6063	4301
585	6073	4290
586	6084	4280
587	6094	4270
588	6105	4260
589	6113	4248
590	6125	4239
591	6134	4227
592	6143	4216
593	6151	4204
594	6160	4193
595	6170	4182
596	6181	4172
597	6191	4161
598	6201	4151
599	6212	4141
600	6224	4132
601	6233	4120
602	6242	4110
603	6253	4100
604	6263	4089
605	6275	4079
606	6286	4070
607	6299	4061
608	6307	4049
609	6316	4038
610	6326	4027
