iter	Logloss
0	0.6921010134
1	0.6910940071
2	0.690126009
3	0.6892030872
4	0.6883287545
5	0.6874805187
6	0.686684522
7	0.685912797
8	0.6851894333
9	0.6844954511
10	0.6838320369
11	0.683190522
12	0.6825824037
13	0.6820066326
14	0.6814612469
15	0.6809331525
16	0.6804281894
17	0.679937324
18	0.6794706391
19	0.6790246218
20	0.6786011426
21	0.6781871532
22	0.6777971161
23	0.6774195344
24	0.6770630764
25	0.6767142832
26	0.6763777628
27	0.6760641911
28	0.6757647171
29	0.6754691211
30	0.6751915009
31	0.6749183974
32	0.6746634522
33	0.6744126587
34	0.6741757805
35	0.6739513575
36	0.6737325462
37	0.6735254146
38	0.6733240772
39	0.673128899
40	0.6729384657
41	0.6727581152
42	0.6725820989
43	0.6724157549
44	0.6722570301
45	0.6721025482
46	0.6719544081
47	0.6718087316
48	0.6716716324
49	0.6715372249
50	0.6714113491
51	0.6712863402
52	0.6711689504
53	0.6710559861
54	0.6709467174
55	0.6708343462
56	0.6707276323
57	0.6706295414
58	0.6705342791
59	0.6704485065
60	0.6703560273
61	0.6702743152
62	0.6701869002
63	0.6701000327
64	0.670020465
65	0.669938616
66	0.6698623788
67	0.669791434
68	0.6697221772
69	0.6696567984
70	0.6695922865
71	0.6695336144
72	0.6694687375
73	0.6694129398
74	0.6693502072
75	0.6692918545
76	0.6692325893
77	0.6691802589
78	0.6691303466
79	0.669078518
80	0.6690274195
81	0.6689807464
82	0.6689303322
83	0.6688797812
84	0.6688380811
85	0.6687926855
86	0.668749708
87	0.6687068217
88	0.6686665816
89	0.6686249728
90	0.6685831359
91	0.6685419377
92	0.6685002832
93	0.6684584919
94	0.6684227686
95	0.6683891895
96	0.668354333
97	0.6683215296
98	0.668288863
99	0.6682587514
100	0.6682263585
101	0.6681930988
102	0.6681633522
103	0.6681349743
104	0.6681036308
105	0.6680733366
106	0.6680420844
107	0.6680142083
108	0.667984781
109	0.6679545781
110	0.6679259721
111	0.6678968185
112	0.6678699462
113	0.6678419332
114	0.6678158821
115	0.6677878691
116	0.6677627305
117	0.6677377743
118	0.6677137762
119	0.6676886376
120	0.6676640008
121	0.6676374022
122	0.6676169627
123	0.6675944703
124	0.6675688297
125	0.6675444211
126	0.6675227042
127	0.6675029491
128	0.6674810954
129	0.6674590135
130	0.667436521
131	0.6674145304
132	0.6673926766
133	0.6673720091
134	0.6673503835
135	0.6673345064
136	0.6673125158
137	0.6672920307
138	0.6672726863
139	0.6672507413
140	0.6672308494
141	0.667211003
142	0.6671881
143	0.6671679343
144	0.6671488636
145	0.6671329865
146	0.6671165164
147	0.6670967613
148	0.6670775993
149	0.667058848
150	0.6670393211
151	0.6670242652
152	0.6670030046
153	0.6669847551
154	0.666967555
155	0.6669513586
156	0.6669356184
157	0.6669191939
158	0.6669010356
159	0.6668845655
160	0.6668697834
161	0.6668520358
162	0.6668362956
163	0.6668222435
164	0.6668054083
165	0.666791995
166	0.6667762548
167	0.666760469
168	0.6667430864
169	0.6667294905
170	0.666711971
171	0.6666956377
172	0.6666785288
173	0.666664568
174	0.6666485997
175	0.6666359619
176	0.6666201761
177	0.6666067171
178	0.66659303
179	0.6665797991
180	0.6665668876
181	0.6665510106
182	0.666535316
183	0.6665219027
184	0.6665078506
185	0.6664946197
186	0.6664802482
187	0.6664627743
188	0.6664459392
189	0.666432024
190	0.6664193406
191	0.6664028248
192	0.6663899589
193	0.6663756331
194	0.6663599841
195	0.6663471183
196	0.6663348911
197	0.6663217971
198	0.6663093418
199	0.6662938298
